disaster_no,state,start_year,start_month,latitude,longitude,affected_by_state
2020-0272-MYS,Sabah,2020,6,5.25,114.20,4500
2020-0272-MYS,Sarawak,2020,6,2.90,111.00,4500
2021-0524-MYS,Kedah,2021,8,6.15,100.55,4828
2022-0732-MYS,Kelantan,2022,11,5.15,102.15,388.375
2022-0732-MYS,Pahang,2022,11,3.75,102.55,388.375
2022-0732-MYS,Penang,2022,11,5.40,100.25,388.375
2022-0732-MYS,Perak,2022,11,4.80,101.00,388.375
2022-0732-MYS,Selangor,2022,11,3.35,101.35,388.375
2022-0732-MYS,Melaka,2022,11,2.30,102.30,388.375
2022-0732-MYS,Johor,2022,11,2.00,103.55,388.375
2022-0732-MYS,Sabah,2022,11,5.25,114.20,388.375
2023-0729-MYS,Selangor,2023,11,3.35,101.35,293.67
